filename,variance_of_laplacian,dest
000063.jpg,2.9493,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000063.jpg
000064.jpg,3.1877,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000064.jpg
000065.jpg,3.3186,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000065.jpg
000066.jpg,3.1032,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000066.jpg
000067.jpg,3.5254,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000067.jpg
000068.jpg,3.5350,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000068.jpg
000069.jpg,3.8835,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000069.jpg
000070.jpg,4.2266,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000070.jpg
000071.jpg,3.9918,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000071.jpg
000072.jpg,4.5758,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000072.jpg
000073.jpg,5.2899,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000073.jpg
000074.jpg,5.2137,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000074.jpg
000075.jpg,4.9827,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000075.jpg
000076.jpg,5.7217,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000076.jpg
000077.jpg,5.8283,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000077.jpg
000078.jpg,6.4708,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000078.jpg
000079.jpg,6.0133,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000079.jpg
000080.jpg,7.4644,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000080.jpg
000081.jpg,7.9849,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000081.jpg
000082.jpg,7.5607,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000082.jpg
000083.jpg,8.8079,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000083.jpg
000084.jpg,10.0254,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000084.jpg
000085.jpg,11.4717,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000085.jpg
000086.jpg,14.2821,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000086.jpg
000087.jpg,16.2179,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000087.jpg
000088.jpg,16.2890,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000088.jpg
000089.jpg,17.0510,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000089.jpg
000090.jpg,15.7074,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000090.jpg
000091.jpg,15.3571,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000091.jpg
000092.jpg,17.4458,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000092.jpg
000093.jpg,17.0634,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000093.jpg
000094.jpg,17.3461,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000094.jpg
000095.jpg,14.7918,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000095.jpg
000096.jpg,14.7163,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000096.jpg
000097.jpg,16.8481,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000097.jpg
000098.jpg,16.5473,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000098.jpg
000099.jpg,16.3968,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000099.jpg
000100.jpg,16.7679,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000100.jpg
000101.jpg,15.7338,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000101.jpg
000102.jpg,16.7887,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000102.jpg
000103.jpg,15.4863,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000103.jpg
000104.jpg,16.5570,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000104.jpg
000105.jpg,15.2123,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000105.jpg
000106.jpg,15.2049,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000106.jpg
000107.jpg,16.7711,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000107.jpg
000108.jpg,14.9457,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000108.jpg
000109.jpg,14.7705,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000109.jpg
000110.jpg,16.3900,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000110.jpg
000111.jpg,15.5146,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000111.jpg
000112.jpg,15.6469,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000112.jpg
000113.jpg,15.9799,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000113.jpg
000114.jpg,15.3053,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000114.jpg
000115.jpg,16.4916,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000115.jpg
000116.jpg,15.5067,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000116.jpg
000117.jpg,19.4744,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000117.jpg
000118.jpg,21.9647,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000118.jpg
000119.jpg,33.9894,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000119.jpg
000120.jpg,56.0037,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000120.jpg
000121.jpg,76.8847,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000121.jpg
000155.jpg,77.5367,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000155.jpg
000156.jpg,78.6455,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000156.jpg
000157.jpg,77.9991,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000157.jpg
000158.jpg,76.6404,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000158.jpg
000159.jpg,77.1535,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000159.jpg
000160.jpg,75.1977,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000160.jpg
000161.jpg,59.2543,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000161.jpg
000162.jpg,56.3907,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000162.jpg
000163.jpg,57.1148,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000163.jpg
000164.jpg,54.6813,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000164.jpg
000165.jpg,53.8863,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000165.jpg
000166.jpg,54.8641,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000166.jpg
000167.jpg,52.2975,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000167.jpg
000168.jpg,53.2873,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000168.jpg
000169.jpg,52.8174,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000169.jpg
000170.jpg,54.8558,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000170.jpg
000171.jpg,54.8917,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000171.jpg
000172.jpg,53.0019,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000172.jpg
000173.jpg,53.3260,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000173.jpg
000174.jpg,52.2839,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000174.jpg
000175.jpg,53.7450,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000175.jpg
000176.jpg,53.8695,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000176.jpg
000177.jpg,52.5315,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000177.jpg
000178.jpg,52.4197,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000178.jpg
000179.jpg,51.1644,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000179.jpg
000180.jpg,51.9272,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000180.jpg
000181.jpg,52.0003,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000181.jpg
000182.jpg,50.9014,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000182.jpg
000183.jpg,50.4515,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000183.jpg
000184.jpg,51.1928,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000184.jpg
000185.jpg,50.4891,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000185.jpg
000186.jpg,51.7799,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000186.jpg
000187.jpg,53.0768,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000187.jpg
000188.jpg,52.8176,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000188.jpg
000189.jpg,54.3375,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000189.jpg
000190.jpg,53.8527,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000190.jpg
000191.jpg,54.0864,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000191.jpg
000192.jpg,55.9424,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000192.jpg
000193.jpg,55.9658,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000193.jpg
000194.jpg,56.4538,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000194.jpg
000195.jpg,57.6566,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000195.jpg
000196.jpg,57.7652,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000196.jpg
000197.jpg,56.7291,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000197.jpg
000198.jpg,57.4252,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000198.jpg
000199.jpg,56.9264,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000199.jpg
000200.jpg,57.5400,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000200.jpg
000201.jpg,57.6263,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000201.jpg
000202.jpg,57.5442,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000202.jpg
000203.jpg,58.2564,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000203.jpg
000204.jpg,57.7672,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000204.jpg
000205.jpg,58.2928,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000205.jpg
000206.jpg,55.9591,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000206.jpg
000207.jpg,55.3143,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000207.jpg
000208.jpg,55.2692,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000208.jpg
000209.jpg,53.5494,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000209.jpg
000210.jpg,53.3209,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000210.jpg
000211.jpg,53.8840,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000211.jpg
000212.jpg,53.4648,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000212.jpg
000213.jpg,50.9641,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000213.jpg
000214.jpg,49.0903,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000214.jpg
000215.jpg,47.9044,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000215.jpg
000216.jpg,41.0481,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000216.jpg
000217.jpg,41.6424,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000217.jpg
000218.jpg,43.2109,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000218.jpg
000219.jpg,38.5140,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000219.jpg
000220.jpg,38.5153,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000220.jpg
000221.jpg,35.7764,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000221.jpg
000222.jpg,27.9517,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000222.jpg
000223.jpg,21.8692,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000223.jpg
000224.jpg,15.2225,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000224.jpg
000225.jpg,15.0382,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000225.jpg
000226.jpg,13.4827,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000226.jpg
000227.jpg,10.9078,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000227.jpg
000228.jpg,5.8048,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000228.jpg
000229.jpg,4.9031,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000229.jpg
000230.jpg,4.8475,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000230.jpg
000231.jpg,6.0017,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000231.jpg
000232.jpg,6.2381,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000232.jpg
000233.jpg,6.3941,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000233.jpg
000234.jpg,6.4466,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000234.jpg
000235.jpg,8.1970,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000235.jpg
000236.jpg,8.2458,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000236.jpg
000237.jpg,8.0944,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000237.jpg
000238.jpg,8.3954,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000238.jpg
000239.jpg,9.0550,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000239.jpg
000240.jpg,9.5386,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000240.jpg
000241.jpg,11.3032,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000241.jpg
000242.jpg,12.3160,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000242.jpg
000243.jpg,12.3901,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000243.jpg
000244.jpg,14.5316,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000244.jpg
000245.jpg,14.5293,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000245.jpg
000246.jpg,15.3377,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000246.jpg
000247.jpg,16.0243,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000247.jpg
000248.jpg,17.5267,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000248.jpg
000249.jpg,18.1546,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000249.jpg
000250.jpg,18.1877,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000250.jpg
000251.jpg,21.2441,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000251.jpg
000252.jpg,20.2503,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000252.jpg
000253.jpg,23.6588,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000253.jpg
000254.jpg,23.7116,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000254.jpg
000255.jpg,22.8880,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000255.jpg
000256.jpg,26.8854,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000256.jpg
000257.jpg,24.0078,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000257.jpg
000258.jpg,28.3400,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000258.jpg
000259.jpg,29.6841,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000259.jpg
