filename,variance_of_laplacian
001161.jpg,42.8515
001162.jpg,42.8391
001163.jpg,42.7856
001164.jpg,42.5856
001165.jpg,43.1136
001166.jpg,43.6445
001167.jpg,43.6447
001168.jpg,44.2115
001169.jpg,44.0123
001170.jpg,43.5627
001171.jpg,44.1735
001172.jpg,44.1711
001173.jpg,43.2860
001174.jpg,43.2031
001175.jpg,43.0586
001176.jpg,4.2582
001177.jpg,4.6837
001178.jpg,4.4057
001179.jpg,2.0941
001180.jpg,2.3925
001181.jpg,2.6877
001182.jpg,2.8434
001183.jpg,2.9075
001184.jpg,2.8237
001185.jpg,3.0529
001186.jpg,3.0729
001187.jpg,3.2432
001188.jpg,2.9852
001189.jpg,2.6481
001190.jpg,2.5991
001191.jpg,2.3440
001192.jpg,2.7121
001193.jpg,3.2700
001194.jpg,4.5191
001195.jpg,5.3832
001196.jpg,4.3046
001197.jpg,4.3040
001198.jpg,2.9319
001199.jpg,3.2062
001200.jpg,4.1110
001201.jpg,4.3549
001202.jpg,3.9150
001203.jpg,3.8967
001204.jpg,4.2108
001205.jpg,5.3877
001206.jpg,7.4899
001207.jpg,22.3161
001208.jpg,19.3467
001209.jpg,30.8066
001210.jpg,23.3997
001211.jpg,40.4938
001212.jpg,35.0241
001213.jpg,57.2475
001214.jpg,50.5474
001215.jpg,61.9986
001216.jpg,56.7842
001217.jpg,68.4701
001218.jpg,66.0156
001219.jpg,68.2223
001220.jpg,77.4413
001221.jpg,78.6115
001222.jpg,88.4956
001223.jpg,94.0080
001224.jpg,92.8196
001225.jpg,92.9142
001226.jpg,86.3921
001227.jpg,84.9823
001228.jpg,84.3284
001229.jpg,78.4115
001230.jpg,69.6093
001231.jpg,62.5152
001232.jpg,62.5311
001233.jpg,62.6476
001234.jpg,65.2848
001235.jpg,68.8142
001236.jpg,71.5600
001237.jpg,69.6733
001238.jpg,68.7041
001239.jpg,65.8072
001240.jpg,64.4197
001241.jpg,68.7171
001242.jpg,70.5528
001243.jpg,68.9431
001244.jpg,63.3770
001245.jpg,59.4238
001246.jpg,59.5746
001247.jpg,63.3579
001248.jpg,56.7698
001249.jpg,54.4721
001250.jpg,49.7267
001251.jpg,50.7648
001252.jpg,50.5914
001253.jpg,202.7675
001254.jpg,200.8557
001255.jpg,204.3215
001256.jpg,205.0922
001257.jpg,204.2246
001258.jpg,206.2581
001259.jpg,204.2502
001260.jpg,209.9815
001261.jpg,211.7815
001262.jpg,213.9098
001263.jpg,212.7064
001264.jpg,218.2044
001265.jpg,222.1806
001266.jpg,228.1667
001267.jpg,228.0674
001268.jpg,218.2460
001269.jpg,194.4403
001270.jpg,194.6082
001271.jpg,238.4300
001272.jpg,259.8764
001273.jpg,268.9031
001274.jpg,273.9516
001275.jpg,265.2201
001276.jpg,257.2651
001277.jpg,255.9626
001278.jpg,254.1855
001279.jpg,255.8047
001280.jpg,257.6311
001281.jpg,256.3301
001282.jpg,261.0650
001283.jpg,262.1611
001284.jpg,234.5691
001285.jpg,231.8479
001286.jpg,228.7682
001287.jpg,223.4333
001288.jpg,220.0790
001289.jpg,217.7698
001290.jpg,225.1047
001291.jpg,224.3482
001292.jpg,229.5834
001293.jpg,234.1089
001294.jpg,233.6760
001295.jpg,233.9255
001296.jpg,224.8504
001297.jpg,233.2799
001298.jpg,248.3428
001299.jpg,253.7113
001300.jpg,261.4346
001301.jpg,266.4373
001302.jpg,270.1522
001303.jpg,267.9969
001304.jpg,271.6772
001305.jpg,276.6522
001306.jpg,283.3736
001307.jpg,288.0102
001308.jpg,286.2633
001309.jpg,285.2740
001310.jpg,290.9976
001311.jpg,296.4823
001312.jpg,296.6350
001313.jpg,297.3774
001314.jpg,300.9890
001315.jpg,302.1584
001316.jpg,296.6676
001317.jpg,295.5737
001318.jpg,294.4542
001319.jpg,295.6233
001320.jpg,558.2430
001321.jpg,569.9829
001322.jpg,570.7391
001323.jpg,564.2444
001324.jpg,573.6134
001325.jpg,570.8923
001326.jpg,566.5248
001327.jpg,570.4413
001328.jpg,566.4493
001329.jpg,571.8407
001330.jpg,571.7917
001331.jpg,572.7093
001332.jpg,572.7687
001333.jpg,572.9765
001334.jpg,572.9765
001335.jpg,572.9765
001336.jpg,572.9765
001337.jpg,572.9765
001338.jpg,572.9765
001339.jpg,572.9765
001340.jpg,573.0063
001341.jpg,572.9870
001342.jpg,573.0063
001343.jpg,573.0063
001344.jpg,573.0063
001345.jpg,573.0063
001346.jpg,573.0286
001347.jpg,573.0218
001348.jpg,573.0286
001349.jpg,573.0286
001350.jpg,573.0286
001351.jpg,573.0286
001352.jpg,573.0286
001353.jpg,573.0286
001354.jpg,573.0286
001355.jpg,573.0286
001356.jpg,573.0286
001357.jpg,573.0286
001358.jpg,573.0286
001359.jpg,573.0286
001360.jpg,573.0286
001361.jpg,573.0286
001362.jpg,573.0286
001363.jpg,573.0286
001364.jpg,573.0286
001365.jpg,573.0286
001366.jpg,573.0286
001367.jpg,573.0286
001368.jpg,573.0286
001369.jpg,573.0286
001370.jpg,573.0286
001371.jpg,573.0286
